,POC,BussinessSegment,totalVolumen,SkuDistintosPromediosXOrden,SkuDistintosToTales,concentracion,nse,segmentoUnico,canal
7897,419306,HighUsage,1.12,3.5,5,Medio,Bajo,1.Inactivos,Tradicional
7900,421724,MinimalUsage,0.29472,7.0,7,Alto,Medio,2.Masivos,COMIDA
7907,426356,PowerUsage,0.53498,2.2,8,Alto,Bajo,4.Activos,Kioscos/Maxikioscos
7917,433636,PowerUsage,4.33366,3.7308,26,Alto,Medio,5.Select,Tradicional
7925,435149,MinimalUsage,5.609999999999999,6.5,12,Alto,Medio,2.Masivos,ENTRETENIMIENTO
7926,435833,MinimalUsage,9.15856,9.8,23,Alto,Medio,3.Potenciales,COMIDA
7927,436305,PowerUsage,1.82088,3.8333,17,Alto,Medio,4.Activos,Tradicional
7928,436467,PowerUsage,1.90926,7.0,10,Alto,Medio,2.Masivos,Kioscos/Maxikioscos
7931,438029,HighUsage,13.25732,6.8529,45,Medio,Medio,4.Activos,Tradicional
7938,439892,PowerUsage,10.927519999999998,2.1207,50,Alto,Medio,5.Select,Tradicional
7940,440502,MediumUsage,1.887,5.0,18,Alto,Bajo,1.Inactivos,Tradicional
7947,443549,PowerUsage,4.9917,4.7727,23,Alto,Medio,4.Activos,Tradicional
7970,453565,MinimalUsage,6.5526,2.0,17,Alto,S/D,2.Masivos,Kioscos/Maxikioscos
7980,456988,MediumUsage,0.27,4.0,4,S/D,S/D,,Instituciones
7992,459662,HighUsage,23.568120000000004,10.1923,61,S/D,S/D,2.Masivos,Tradicional
7994,46260,PowerUsage,3.92968,4.6364,20,Medio,S/D,5.Select,Tradicional
8007,113649,HighUsage,4.75328,6.5,15,Medio,Medio,2.Masivos,Tradicional
8009,142908,MediumUsage,28.2022,7.1667,35,Alto,Medio,2.Masivos,Tradicional
8026,334575,HighUsage,4.05496,2.75,8,Medio,Bajo,2.Masivos,Kioscos/Maxikioscos
8027,334590,HighUsage,3.7361,4.3,16,Medio,S/D,4.Activos,Tradicional
8070,408827,PowerUsage,0.6297200000000001,3.375,13,Medio,Medio,4.Activos,Kioscos/Maxikioscos
8084,416700,HighUsage,5.7857400000000005,2.9375,13,Medio,S/D,2.Masivos,COMIDA
8087,420304,HighUsage,12.21056,10.4,45,Medio,Bajo,4.Activos,Tradicional
8116,435971,HighUsage,2.2496,4.6667,20,Alto,Medio,1.Inactivos,Tradicional
8126,439154,PowerUsage,21.225680000000004,15.7917,85,Alto,Medio,5.Select,Tradicional
8127,440205,MinimalUsage,42.79892,2.3333,6,Medio,Medio,3.Potenciales,BEBIDA
8142,444470,HighUsage,5.19048,2.7727,14,Alto,S/D,2.Masivos,Kioscos/Maxikioscos
8147,447021,MediumUsage,9.03508,3.5,11,Alto,Bajo,1.Inactivos,Tradicional
8150,447751,HighUsage,0.06736,3.0,3,Medio,Bajo,4.Activos,Tradicional
8152,448258,MinimalUsage,6.86432,16.6,44,Alto,Medio,2.Masivos,Tradicional
8157,450543,HighUsage,2.68394,6.5,14,Alto,Medio,4.Activos,Tradicional
8159,450761,MediumUsage,4.665,5.9091,23,Alto,Medio,4.Activos,Tradicional
8176,456948,MediumUsage,1.098,5.0,5,S/D,S/D,1.Inactivos,Tradicional
8181,459058,MinimalUsage,0.61728,4.0,4,S/D,S/D,2.Masivos,COMIDA
8183,46905,MediumUsage,105.7535,13.4783,60,Medio,Medio,4.Activos,COMIDA
8193,71494,MediumUsage,84.795,13.0,20,Medio,Bajo,,Instituciones
8200,118660,HighUsage,7.90438,4.0455,21,Alto,S/D,5.Select,Tradicional
8203,166067,HighUsage,3.5519000000000003,2.4375,13,Bajo,Bajo,4.Activos,Tradicional
8205,187264,PowerUsage,6.12408,2.7222,15,Medio,Bajo,4.Activos,Tradicional
8208,312618,MinimalUsage,0.85476,5.3333,11,Alto,S/D,1.Inactivos,Tradicional
8216,342764,MinimalUsage,0.56894,8.5,12,Medio,Medio,1.Inactivos,Tradicional
8218,359955,HighUsage,11.74324,8.3462,56,Alto,Alto,4.Activos,Tradicional
8225,367897,HighUsage,1.82514,1.55,5,Medio,Bajo,4.Activos,Tradicional
8230,37788,HighUsage,8.793859999999999,9.2,46,Alto,Medio,4.Activos,Kioscos/Maxikioscos
8239,398716,HighUsage,26.1035,6.4211,34,Medio,Medio,4.Activos,COMIDA
8241,404523,HighUsage,5.710379999999999,6.2778,42,Alto,Medio,4.Activos,Tradicional
8243,405521,HighUsage,0.19338,1.0,4,Medio,Medio,2.Masivos,Kioscos/Maxikioscos
8250,412700,MediumUsage,3.9146,4.0,14,Alto,S/D,1.Inactivos,Kioscos/Maxikioscos
8251,417147,MinimalUsage,11.24556,6.2857,20,Medio,S/D,4.Activos,COMIDA
8253,418050,HighUsage,8.31968,12.4,34,Medio,S/D,4.Activos,COMIDA
8258,422200,MinimalUsage,0.80396,4.3,15,Medio,S/D,1.Inactivos,Tradicional
8259,424423,MinimalUsage,0.77708,9.0,9,Alto,Medio,2.Masivos,COMIDA
8261,426226,MinimalUsage,0.8419199999999999,4.0,6,Alto,Medio,2.Masivos,COMIDA
8262,426288,PowerUsage,3.30486,3.6429,12,Alto,Medio,1.Inactivos,Tradicional
8264,427721,MinimalUsage,7.58506,6.3333,32,Medio,Bajo,4.Activos,Kioscos/Maxikioscos
8267,428839,PowerUsage,2.98898,4.65,41,Alto,Medio,5.Select,Tradicional
8269,429030,PowerUsage,8.817450000000001,5.5192,47,Alto,S/D,4.Activos,Tradicional
8296,443809,MinimalUsage,0.50472,5.5,9,Medio,Medio,2.Masivos,COMIDA
8303,447448,HighUsage,0.8908799999999999,6.3333,11,Alto,Medio,4.Activos,Kioscos/Maxikioscos
8315,451053,PowerUsage,1.41514,3.75,6,Medio,Bajo,4.Activos,Tradicional
8324,457496,HighUsage,8.165579999999999,5.625,25,Alto,S/D,4.Activos,COMIDA
8330,458985,HighUsage,39.55816,4.7381,69,S/D,S/D,4.Activos,Autoservicio
8351,99356,HighUsage,6.952320000000001,3.5625,21,Medio,Bajo,4.Activos,Tradicional
8354,139719,MediumUsage,0.5925,6.0,6,Medio,S/D,2.Masivos,Kioscos/Maxikioscos
8366,304687,PowerUsage,26.86076,9.4423,42,Alto,Medio,5.Select,Tradicional
8374,31765,MediumUsage,36.517680000000006,8.3333,46,Alto,Medio,4.Activos,COMIDA
8375,320196,MediumUsage,1.92576,2.2143,5,Medio,Bajo,1.Inactivos,Tradicional
8377,328781,HighUsage,6.820820000000001,9.5455,43,Alto,Medio,2.Masivos,Tradicional
8400,382993,MinimalUsage,2.05294,5.3333,22,Medio,Medio,1.Inactivos,Tradicional
8401,384932,MediumUsage,9.06604,7.3125,44,Alto,Medio,2.Masivos,Tradicional
8404,389167,PowerUsage,6.82868,4.1786,24,Alto,Medio,4.Activos,Tradicional
8426,412748,MediumUsage,1.03842,2.4286,8,Alto,Bajo,1.Inactivos,Kioscos/Maxikioscos
8428,413623,HighUsage,16.70788,7.125,42,Alto,Medio,2.Masivos,Tradicional
8437,421704,HighUsage,4.399399999999999,9.7273,44,Alto,Medio,4.Activos,Tradicional
8456,431542,MediumUsage,2.0748,4.6,11,Alto,Medio,2.Masivos,COMIDA
8457,431605,MediumUsage,6.665299999999999,8.0,47,Alto,Medio,3.Potenciales,ENTRETENIMIENTO
8462,433253,MediumUsage,1.4829,2.25,8,Medio,Bajo,1.Inactivos,Tradicional
8472,438297,MinimalUsage,0.1248,3.0,3,Medio,Bajo,2.Masivos,Kioscos/Maxikioscos
8492,450618,MinimalUsage,88.8474,3.1,7,Alto,Medio,4.Activos,BEBIDA
8494,451521,HighUsage,0.66404,5.0,13,Alto,S/D,4.Activos,Tradicional
8496,452660,HighUsage,327.42084,1.6667,23,Medio,S/D,5.Select,Tradicional
8504,456240,PowerUsage,11.19624,11.1538,51,Medio,Medio,3.Potenciales,Kioscos/Maxikioscos
8539,175525,HighUsage,4.68354,3.1667,11,Medio,Medio,2.Masivos,Tradicional
8540,179762,PowerUsage,6.933339999999999,4.8182,26,Medio,Bajo,4.Activos,Kioscos/Maxikioscos
8541,185703,PowerUsage,1.53576,3.25,14,Medio,Medio,4.Activos,Tradicional
8545,305065,MinimalUsage,3.71916,6.5,16,Alto,Medio,1.Inactivos,Tradicional
8546,309869,HighUsage,27.639620000000004,3.5882,42,Medio,Medio,4.Activos,Autoservicio
8547,311274,HighUsage,6.40478,2.4643,8,Medio,Bajo,2.Masivos,Tradicional
8561,375710,MediumUsage,2.8751799999999994,3.8889,15,Medio,S/D,1.Inactivos,Tradicional
8563,380301,MinimalUsage,1.6229,4.5,12,Medio,Medio,4.Activos,Tradicional
8564,380428,MediumUsage,6.17028,5.1667,18,Alto,Medio,1.Inactivos,Tradicional
8573,388859,HighUsage,1.0735199999999998,1.8,5,Medio,Bajo,2.Masivos,Kioscos/Maxikioscos
8583,409256,PowerUsage,215.04832,3.0143,34,Medio,Bajo,5.Select,Tradicional
8585,411190,PowerUsage,15.09543,5.6765,35,Medio,S/D,4.Activos,Kioscos/Maxikioscos
8589,413223,MediumUsage,1.15756,3.75,6,Medio,Bajo,1.Inactivos,Kioscos/Maxikioscos
8597,420748,MediumUsage,0.6169600000000001,4.5,8,Medio,Medio,2.Masivos,Kioscos/Maxikioscos
8598,421021,MediumUsage,2.22804,5.9286,17,Alto,Medio,1.Inactivos,Tradicional
8603,426876,HighUsage,3.80184,3.8333,12,Alto,Medio,1.Inactivos,Tradicional
8608,427359,MinimalUsage,1.035,4.0,7,Alto,Medio,1.Inactivos,Tradicional
8630,440866,PowerUsage,2.7019200000000003,5.4444,20,Medio,Bajo,4.Activos,Tradicional
8633,444626,PowerUsage,18.93676,1.8462,6,Medio,Bajo,2.Masivos,Tradicional
8649,450630,HighUsage,1322.64278,1.9674,31,Medio,S/D,5.Select,Tradicional
8661,455431,HighUsage,7.504999999999999,4.7143,10,Alto,Bajo,4.Activos,Kioscos/Maxikioscos
8663,456231,MediumUsage,3.58916,2.875,22,S/D,S/D,1.Inactivos,Tradicional
8664,456452,MinimalUsage,8.9844,3.8462,9,S/D,S/D,4.Activos,COMIDA
8666,456938,MediumUsage,1.31456,8.3333,20,Medio,Medio,4.Activos,Tradicional
8694,175857,MinimalUsage,2.4858,5.6667,10,Medio,S/D,2.Masivos,Kioscos/Maxikioscos
8704,311096,HighUsage,8.17427,7.0,29,Alto,Bajo,4.Activos,Kioscos/Maxikioscos
8707,319756,HighUsage,2.24686,3.6875,16,Medio,Bajo,2.Masivos,Kioscos/Maxikioscos
8709,330556,MediumUsage,81.67006000000002,5.2586,80,Medio,Medio,4.Activos,Autoservicio
8741,386229,MinimalUsage,1.07076,1.9,7,Alto,Medio,2.Masivos,COMIDA
8746,391277,MediumUsage,4.883,4.6667,7,Alto,Bajo,4.Activos,ENTRETENIMIENTO
8749,394763,HighUsage,26.04366,5.7143,38,Medio,Bajo,4.Activos,Kioscos/Maxikioscos
8771,420301,PowerUsage,6.22668,4.9333,33,Alto,Medio,5.Select,Tradicional
8778,425415,HighUsage,1.36956,2.8333,8,Bajo,Bajo,4.Activos,Tradicional
8784,428649,HighUsage,38.22274,7.04,76,Alto,Medio,5.Select,Tradicional
8801,439157,HighUsage,62.23946,10.9444,73,Alto,Medio,5.Select,Tradicional
8804,441059,HighUsage,9.09724,6.05,41,Alto,Medio,4.Activos,Tradicional
8809,443360,MediumUsage,69.096,1.625,6,Medio,S/D,2.Masivos,Tradicional
8813,446656,HighUsage,2.06754,10.4,27,Alto,Medio,2.Masivos,Kioscos/Maxikioscos
8822,449275,HighUsage,14.02606,6.1364,44,Medio,Medio,4.Activos,Tradicional
8825,450273,MinimalUsage,1.7743199999999997,7.5,18,Alto,Medio,2.Masivos,COMIDA
8826,450359,MediumUsage,1.04882,4.6667,9,Alto,Medio,1.Inactivos,Tradicional
8839,456758,MediumUsage,0.3023999999999999,3.0,5,Alto,Medio,1.Inactivos,Tradicional
8850,460240,HighUsage,2.35938,14.0,25,S/D,S/D,3.Potenciales,COMIDA
8851,460413,MediumUsage,1.077,7.0,7,S/D,S/D,2.Masivos,Kioscos/Maxikioscos
8852,48616,MediumUsage,1.0735199999999998,3.5,4,Medio,Medio,1.Inactivos,Tradicional
8869,124680,MinimalUsage,0.39336,4.5,7,Medio,S/D,1.Inactivos,Kioscos/Maxikioscos
8881,320333,HighUsage,2.5419,2.4286,5,Medio,Bajo,1.Inactivos,Tradicional
8884,32544,HighUsage,0.66258,3.2,9,Medio,Medio,4.Activos,Tradicional
8898,363675,HighUsage,325.81554,5.114,57,Alto,Medio,4.Activos,Mayorista
8904,37717,HighUsage,18.463520000000003,7.1538,46,Medio,Medio,4.Activos,Kioscos/Maxikioscos
8908,381279,HighUsage,29.526559999999996,8.525,56,Alto,S/D,4.Activos,Kioscos/Maxikioscos
8909,381344,MediumUsage,6.914040000000001,7.0,21,Alto,Medio,2.Masivos,COMIDA
8918,392797,MinimalUsage,5.08404,2.1429,8,Alto,Bajo,1.Inactivos,Tradicional
8923,398789,HighUsage,12.99642,3.4722,26,Medio,Bajo,4.Activos,Tradicional
8930,408302,HighUsage,12.83664,3.7143,21,Alto,Bajo,4.Activos,Kioscos/Maxikioscos
8945,422123,HighUsage,383.2201600000001,8.3385,74,Medio,Bajo,5.Select,Mayorista
8953,426786,PowerUsage,3.9593,5.1429,30,Alto,Medio,4.Activos,Tradicional
8961,432173,MediumUsage,3.72768,5.8,17,Medio,Bajo,4.Activos,Tradicional
8963,434154,PowerUsage,12.98866,9.1333,56,Medio,Medio,4.Activos,Kioscos/Maxikioscos
8976,441040,MinimalUsage,1.51202,6.25,29,Alto,S/D,2.Masivos,Kioscos/Maxikioscos
8977,441161,PowerUsage,2.15414,5.8125,22,Medio,Medio,4.Activos,Tradicional
8995,448535,MediumUsage,0.0576,0.75,3,Medio,Medio,1.Inactivos,Kioscos/Maxikioscos
9009,457048,MediumUsage,23.5179,3.2222,22,S/D,S/D,4.Activos,Tradicional
9010,457337,PowerUsage,12.63606,8.625,63,Alto,Medio,5.Select,Kioscos/Maxikioscos
9013,458075,HighUsage,9.04662,7.875,51,Alto,Medio,4.Activos,Tradicional
9042,92914,MinimalUsage,4.78512,20.0,31,Alto,Medio,2.Masivos,Tradicional
9048,157520,PowerUsage,2.0842,2.9167,9,Medio,S/D,1.Inactivos,Tradicional
9053,171117,MinimalUsage,59.88722,6.875,25,Alto,Medio,4.Activos,COMIDA
9055,186462,PowerUsage,18.26324,7.4091,65,Alto,Medio,5.Select,Tradicional
9064,320457,MinimalUsage,0.48,3.0,3,Medio,Bajo,1.Inactivos,Kioscos/Maxikioscos
9066,324929,MinimalUsage,4.56114,2.45,10,Bajo,Bajo,1.Inactivos,Kioscos/Maxikioscos
9067,324932,MediumUsage,3.585019999999999,4.5455,22,Alto,Alto,4.Activos,Tradicional
9085,378675,HighUsage,1.22488,3.0833,14,Alto,Medio,4.Activos,Kioscos/Maxikioscos
9087,380312,HighUsage,12.005160000000002,7.3542,51,Alto,Bajo,5.Select,Tradicional
9089,383380,MinimalUsage,0.4994999999999999,5.0,5,Alto,S/D,1.Inactivos,Kioscos/Maxikioscos
9123,415343,MinimalUsage,4.60242,5.3,17,Medio,Alto,2.Masivos,Tradicional
9129,418486,HighUsage,1.01248,4.5,7,Alto,Medio,4.Activos,Kioscos/Maxikioscos
9136,421005,MediumUsage,22.84618,8.0833,94,Alto,Alto,4.Activos,Tradicional
9146,429590,PowerUsage,16.310540000000003,11.463,62,Alto,S/D,4.Activos,Kioscos/Maxikioscos
9148,431305,HighUsage,4.86272,5.0,16,Medio,Bajo,1.Inactivos,Tradicional
9149,431444,PowerUsage,1.64682,2.25,12,Alto,Bajo,4.Activos,Tradicional
9152,432940,MediumUsage,44.50603999999999,11.58,98,Medio,S/D,4.Activos,Kioscos/Maxikioscos
9162,437474,HighUsage,2.64922,4.2,10,Medio,Bajo,1.Inactivos,Tradicional
9167,440143,HighUsage,12.91656,8.0769,32,Alto,Medio,4.Activos,COMIDA
9174,443536,HighUsage,31.05038,8.6842,35,Medio,Bajo,4.Activos,Kioscos/Maxikioscos
9181,447479,PowerUsage,7.64694,4.2727,30,Alto,Medio,4.Activos,Tradicional
9185,448997,HighUsage,8.256560000000002,6.375,21,Alto,Medio,4.Activos,Tradicional
9187,450821,HighUsage,3.37012,7.2083,52,Alto,Medio,3.Potenciales,Kioscos/Maxikioscos
9190,451689,HighUsage,92.34968,15.1346,99,Medio,S/D,5.Select,Tradicional
9192,452357,HighUsage,9.2112,3.7,20,Medio,Bajo,4.Activos,Autoservicio
9224,117174,MediumUsage,4.776760000000001,2.95,7,Medio,Medio,1.Inactivos,Tradicional
9235,301813,PowerUsage,1.5053,2.25,10,Medio,Bajo,4.Activos,Kioscos/Maxikioscos
9250,375595,MinimalUsage,12.21124,10.25,51,Medio,Bajo,4.Activos,Tradicional
9257,385698,MinimalUsage,0.3315599999999999,1.25,5,Alto,Medio,1.Inactivos,Tradicional
9260,387990,MediumUsage,15.1704,5.4167,46,Alto,S/D,4.Activos,Autoservicio
9265,403736,PowerUsage,11.253240000000002,2.8333,8,Medio,Medio,4.Activos,Kioscos/Maxikioscos
9267,406562,MediumUsage,6.3853800000000005,4.6875,28,Alto,Medio,4.Activos,Tradicional
9278,417007,PowerUsage,2.7300000000000004,4.0,5,Medio,S/D,4.Activos,Tradicional
9284,423179,PowerUsage,22.252040000000004,11.6389,82,Medio,Medio,5.Select,Tradicional
9288,42690,HighUsage,55.02854,13.2632,64,Alto,S/D,4.Activos,COMIDA
9301,440647,PowerUsage,2.0227000000000004,4.125,15,Alto,Medio,4.Activos,Tradicional
9308,444256,MinimalUsage,0.9773,4.3333,8,Medio,Medio,1.Inactivos,Tradicional
9311,445005,MediumUsage,0.4151999999999999,4.0,4,Alto,Medio,1.Inactivos,Tradicional
9313,445570,MediumUsage,0.29812,1.5,4,Medio,S/D,1.Inactivos,Kioscos/Maxikioscos
9340,456399,MinimalUsage,12.13848,10.5385,25,S/D,S/D,4.Activos,COMIDA
9341,457643,MediumUsage,4.84068,4.1818,16,Alto,Alto,4.Activos,COMIDA
9343,458163,MinimalUsage,0.20622,2.5,4,S/D,S/D,1.Inactivos,Kioscos/Maxikioscos
9373,107832,HighUsage,4.95306,4.1538,28,Medio,Medio,2.Masivos,Tradicional
9380,160488,PowerUsage,4.335679999999999,6.875,25,Medio,Bajo,4.Activos,Tradicional
9381,169325,HighUsage,4.97848,3.875,15,Alto,Medio,4.Activos,Tradicional
9382,181858,PowerUsage,6.72484,4.8462,25,Medio,Bajo,4.Activos,Kioscos/Maxikioscos
9386,300353,HighUsage,5.477779999999999,4.7857,20,Medio,Bajo,1.Inactivos,Tradicional
9388,307972,HighUsage,49.09728,3.5238,34,Medio,Bajo,4.Activos,Autoservicio
9394,35101,MediumUsage,81.60127999999999,4.4,9,Medio,Bajo,4.Activos,BEBIDA
9411,371891,PowerUsage,6.443699999999999,6.0,20,Medio,Medio,4.Activos,Tradicional
9414,381267,MinimalUsage,1.35852,7.0,15,Alto,Medio,1.Inactivos,Kioscos/Maxikioscos
9425,398169,PowerUsage,11.7041,4.5,16,Medio,S/D,4.Activos,Autoservicio
9427,398585,HighUsage,9.43936,2.8333,9,Medio,Medio,2.Masivos,Tradicional
9441,411193,PowerUsage,6.880940000000001,7.1667,43,Alto,Medio,4.Activos,Kioscos/Maxikioscos
9443,411788,MediumUsage,22.878,8.1429,20,Alto,Medio,4.Activos,ENTRETENIMIENTO
9445,417028,MinimalUsage,0.6246,5.0,6,Alto,Medio,2.Masivos,COMIDA
9447,419129,PowerUsage,35.10576,7.5385,58,Medio,Medio,5.Select,Tradicional
9463,428606,MediumUsage,5.6477,10.1667,29,Alto,Medio,2.Masivos,Tradicional
9469,433354,MediumUsage,2.24636,6.2,22,Alto,Bajo,1.Inactivos,Tradicional
9475,436168,PowerUsage,15.08966,8.3966,95,Alto,Medio,4.Activos,Tradicional
9476,437002,MinimalUsage,1.7335199999999995,8.0,11,Alto,Medio,2.Masivos,COMIDA
9482,439120,HighUsage,11.42936,10.7333,54,Alto,S/D,4.Activos,Tradicional
9483,439420,HighUsage,1.912,4.75,22,Alto,S/D,4.Activos,Tradicional
9484,440247,HighUsage,2.65818,6.6111,33,Alto,Medio,4.Activos,Kioscos/Maxikioscos
9488,443519,MediumUsage,1.42892,6.0,6,Alto,Medio,2.Masivos,COMIDA
9493,446075,MediumUsage,10.43532,3.7333,18,Medio,Bajo,1.Inactivos,Tradicional
9499,449137,PowerUsage,14.03334,10.9167,59,Alto,Medio,4.Activos,Tradicional
9506,454249,HighUsage,6.773300000000001,3.1875,24,S/D,S/D,4.Activos,Autoservicio
9507,454789,HighUsage,7.69198,12.5,49,S/D,S/D,4.Activos,Autoservicio
9509,455347,MediumUsage,18.845080000000003,4.3889,51,Alto,Medio,4.Activos,Autoservicio
9511,455535,HighUsage,5.35648,7.125,32,Medio,Medio,4.Activos,Tradicional
9573,382229,MinimalUsage,3.84292,6.5,13,Alto,Medio,4.Activos,COMIDA
9582,391578,MediumUsage,2.13,10.0,10,Bajo,Medio,2.Masivos,Tradicional
9587,395103,MediumUsage,3.4289,3.0,18,Medio,Bajo,1.Inactivos,Tradicional
9626,429585,PowerUsage,3.60638,4.45,31,Alto,Medio,4.Activos,Tradicional
9630,430991,PowerUsage,32.98278,2.75,26,Medio,Bajo,4.Activos,Autoservicio
9648,440179,MinimalUsage,1.94784,8.0,17,Medio,Bajo,1.Inactivos,Tradicional
9651,440478,HighUsage,39.01862,15.3824,114,Alto,Medio,5.Select,Tradicional
9653,442580,MediumUsage,12.70432,10.0,36,Alto,S/D,3.Potenciales,COMIDA
9673,451831,HighUsage,824.73776,2.125,32,Medio,S/D,5.Select,Tradicional
9686,455377,PowerUsage,4.27682,4.8182,32,S/D,S/D,4.Activos,Tradicional
9692,457978,MinimalUsage,10.04808,3.3636,9,Bajo,S/D,4.Activos,COMIDA
9697,46324,PowerUsage,5.289300000000001,6.25,31,Medio,Medio,5.Select,Tradicional
9714,160272,PowerUsage,1.21272,2.2273,15,Medio,S/D,4.Activos,Tradicional
9721,301752,MinimalUsage,18.53988,2.5455,18,Alto,Medio,4.Activos,Tradicional
9725,314401,MinimalUsage,1.305,6.75,18,Medio,Medio,1.Inactivos,Tradicional
9732,330614,MediumUsage,4.90514,3.9286,18,Bajo,S/D,4.Activos,Kioscos/Maxikioscos
9752,372596,PowerUsage,14.12452,6.5658,90,Medio,Medio,5.Select,Kioscos/Maxikioscos
9754,379170,MinimalUsage,1.20654,3.4,7,Alto,S/D,2.Masivos,Kioscos/Maxikioscos
9766,391933,MinimalUsage,2.29222,14.6667,26,Medio,Medio,1.Inactivos,Tradicional
9792,422539,PowerUsage,24.77354,5.5,36,Medio,Bajo,5.Select,Tradicional
9797,425447,MinimalUsage,0.99442,4.75,9,Medio,Medio,1.Inactivos,Tradicional
9801,427027,PowerUsage,32.2242,4.6471,63,Alto,Medio,4.Activos,Autoservicio
9818,433430,MinimalUsage,0.43056,2.3333,3,Alto,S/D,2.Masivos,Kioscos/Maxikioscos
9821,437215,PowerUsage,36.95892,6.625,33,Alto,Medio,5.Select,Tradicional
9836,444435,MediumUsage,5.96702,8.2778,42,Alto,Medio,3.Potenciales,Kioscos/Maxikioscos
9841,445934,MediumUsage,0.36944,6.0,6,Alto,Medio,1.Inactivos,Tradicional
9844,446827,HighUsage,0.09962,1.0,4,Alto,Medio,4.Activos,Kioscos/Maxikioscos
9845,447017,PowerUsage,15.864,6.1923,35,Medio,Bajo,5.Select,Tradicional
9848,449419,MinimalUsage,1.0369700000000002,5.3333,8,Alto,Medio,2.Masivos,COMIDA
9896,113553,MediumUsage,1.04838,5.0,9,Medio,Bajo,1.Inactivos,Tradicional
9898,123452,PowerUsage,2.5678,3.35,22,Medio,Medio,5.Select,Tradicional
9902,177532,PowerUsage,12.68625,4.087,47,Medio,Medio,4.Activos,Tradicional
9903,178521,MinimalUsage,13.8023,7.2,42,Medio,Medio,3.Potenciales,Kioscos/Maxikioscos
9907,24387,MediumUsage,0.6670600000000001,2.1667,7,Medio,Medio,2.Masivos,Kioscos/Maxikioscos
9921,33428,MediumUsage,4.303520000000001,4.6667,8,Medio,Bajo,2.Masivos,Kioscos/Maxikioscos
9939,380389,HighUsage,7.496119999999999,3.8056,29,Alto,Bajo,4.Activos,Kioscos/Maxikioscos
9946,391257,PowerUsage,3.2418400000000003,3.5,14,Medio,Bajo,4.Activos,Tradicional
9950,393149,HighUsage,2.66964,2.375,6,Medio,Bajo,1.Inactivos,Tradicional
9951,394652,MinimalUsage,0.51,4.0,7,Alto,Medio,2.Masivos,BEBIDA
9952,394988,PowerUsage,11.200599999999998,8.0667,50,Alto,Medio,4.Activos,Tradicional
9970,417096,PowerUsage,0.90704,2.5,11,Medio,Bajo,4.Activos,Kioscos/Maxikioscos
9974,426214,MediumUsage,3.6001199999999995,4.3333,26,Alto,Medio,1.Inactivos,Kioscos/Maxikioscos
9990,436253,MediumUsage,2.25132,5.0,17,Alto,Medio,2.Masivos,Kioscos/Maxikioscos
9998,442667,MediumUsage,5.49204,9.0,31,Medio,Medio,4.Activos,Tradicional
10005,445325,HighUsage,35.89752,4.3182,35,Medio,Bajo,5.Select,Tradicional
10011,447396,PowerUsage,24.95896,3.9048,41,Medio,Bajo,5.Select,Tradicional
10014,447570,MinimalUsage,0.92304,10.0,14,Alto,S/D,2.Masivos,COMIDA
10015,447627,MediumUsage,0.045,1.0,1,Alto,Medio,1.Inactivos,Autoservicio
10020,449748,MinimalUsage,250.69968,1.5,3,Bajo,Medio,2.Masivos,Mayorista
10030,455636,PowerUsage,13.83818,7.025,37,S/D,S/D,4.Activos,Tradicional
10034,457680,PowerUsage,12.8902,3.4565,60,S/D,S/D,5.Select,Kioscos/Maxikioscos
10035,457747,HighUsage,15.439699999999998,6.2778,43,Alto,Medio,5.Select,Tradicional
10053,97925,PowerUsage,1.93752,3.5833,11,Medio,Medio,4.Activos,Tradicional
10054,122726,PowerUsage,65.50324,6.3793,77,Medio,Medio,4.Activos,Autoservicio
10056,143888,PowerUsage,19.824400000000004,4.9706,23,Medio,Bajo,2.Masivos,Tradicional
10063,22247,MediumUsage,1.8307,4.0,11,Alto,Medio,1.Inactivos,Tradicional
10065,306713,PowerUsage,7.53714,9.6429,40,Alto,Medio,2.Masivos,Tradicional
10066,308426,HighUsage,0.5378000000000001,1.0,10,Medio,S/D,4.Activos,Tradicional
10072,316865,HighUsage,11.46984,3.4643,34,Alto,Medio,2.Masivos,Tradicional
10093,38372,PowerUsage,11.4221,5.7778,46,Alto,Medio,5.Select,Tradicional
10095,38687,HighUsage,1.7732,4.8571,17,Medio,Medio,4.Activos,Tradicional
10103,399773,MediumUsage,0.405,4.5,8,Medio,Medio,1.Inactivos,COMIDA
10121,420437,PowerUsage,11.56946,2.2,16,Medio,Bajo,4.Activos,Tradicional
10134,430221,HighUsage,16.3464,6.8,45,Medio,Medio,4.Activos,Autoservicio
10141,435274,HighUsage,3.69146,8.3333,35,Alto,Medio,4.Activos,Autoservicio
10146,437806,HighUsage,17.74912,9.7857,73,Alto,Medio,4.Activos,Tradicional
10172,448286,MinimalUsage,4.1119,4.4,12,Alto,Medio,1.Inactivos,Tradicional
10178,450959,MinimalUsage,150.05642,4.8421,40,Alto,Medio,4.Activos,Mayorista
10183,453130,HighUsage,3.975,6.95,23,Medio,S/D,2.Masivos,Tradicional
10186,454722,MinimalUsage,10.51224,7.2,13,S/D,S/D,2.Masivos,COMIDA
10193,456123,PowerUsage,16.919860000000003,13.25,85,Alto,Medio,5.Select,Tradicional
10196,456286,MinimalUsage,0.13476,1.25,4,S/D,S/D,1.Inactivos,Tradicional
10204,459381,MinimalUsage,0.7086799999999999,10.0,10,S/D,S/D,1.Inactivos,Tradicional
