,POC,BussinessSegment,totalVolumen,SkuDistintosPromediosXOrden,SkuDistintosToTales,concentracion,nse,segmentoUnico,canal
531,399805,MinimalUsage,0.3699599999999999,8.0,8,Alto,Medio,1.Inactivos,Tradicional
545,427281,HighUsage,67.35806000000001,9.7727,63,Alto,Medio,4.Activos,COMIDA
547,429255,HighUsage,10.26202,17.0,56,Alto,Medio,2.Masivos,Tradicional
549,429794,PowerUsage,5.04836,10.1667,45,Alto,Medio,5.Select,Tradicional
559,439777,HighUsage,25.22304,9.5,53,Medio,Bajo,5.Select,Tradicional
577,448611,MinimalUsage,1.71806,6.3333,14,Alto,Medio,2.Masivos,Tradicional
578,448718,HighUsage,4.3479,7.6667,13,Alto,Medio,2.Masivos,Tradicional
584,451362,HighUsage,6.09294,4.3,21,Medio,Bajo,4.Activos,Tradicional
586,451488,MinimalUsage,1.18404,8.0,8,Medio,S/D,2.Masivos,Kioscos/Maxikioscos
600,458423,MinimalUsage,0.50976,3.0,3,S/D,S/D,2.Masivos,OTROS REF
606,460464,MinimalUsage,3.36478,9.0,14,S/D,S/D,1.Inactivos,Tradicional
621,145431,MinimalUsage,76.13224,4.6667,27,Alto,Medio,4.Activos,COMIDA
623,167303,MediumUsage,2.39574,2.5,10,Medio,Bajo,1.Inactivos,Kioscos/Maxikioscos
628,179724,PowerUsage,6.263920000000001,3.7308,32,Medio,Medio,4.Activos,Tradicional
663,383818,MinimalUsage,12.44,2.2,3,Bajo,S/D,2.Masivos,COMIDA
676,396634,HighUsage,8.7654,11.5556,47,Alto,Medio,4.Activos,Kioscos/Maxikioscos
700,423295,HighUsage,13.36738,4.0385,29,Alto,Medio,2.Masivos,Tradicional
722,441520,HighUsage,3.75676,2.4444,11,Alto,S/D,1.Inactivos,Tradicional
725,442436,HighUsage,12.625799999999998,10.1667,43,Alto,Medio,4.Activos,Tradicional
728,443138,MediumUsage,35.98423999999999,5.6818,14,Alto,Medio,4.Activos,BEBIDA
730,444152,HighUsage,2.8139000000000003,3.1875,8,Alto,Medio,4.Activos,COMIDA
735,445263,MinimalUsage,3.75072,5.8333,13,Medio,Medio,1.Inactivos,COMIDA
741,449184,MediumUsage,9.8394,10.8125,31,Alto,Medio,3.Potenciales,COMIDA
751,453992,MinimalUsage,2.58144,21.0,21,Medio,S/D,,
753,454671,MediumUsage,45.4724,4.0,15,S/D,S/D,4.Activos,BEBIDA
755,455831,PowerUsage,18.42831,4.5938,44,Medio,Medio,4.Activos,Autoservicio
757,456509,HighUsage,2.71532,5.1667,25,Alto,Medio,5.Select,Tradicional
760,458513,HighUsage,4.840839999999999,7.7083,45,S/D,S/D,2.Masivos,Tradicional
784,157587,MediumUsage,5.53662,3.6364,18,Medio,Medio,1.Inactivos,Tradicional
786,166922,MediumUsage,1.04598,3.0,9,Medio,Bajo,1.Inactivos,Kioscos/Maxikioscos
789,172330,HighUsage,1.1567999999999998,4.3333,11,Medio,S/D,5.Select,Tradicional
793,304430,HighUsage,8.01078,7.75,35,Medio,S/D,4.Activos,Tradicional
821,382500,HighUsage,1.48248,1.0,3,Medio,S/D,1.Inactivos,Tradicional
823,383527,MediumUsage,1.2300000000000002,4.3333,10,Alto,Medio,1.Inactivos,Kioscos/Maxikioscos
827,390014,PowerUsage,4.152540000000001,3.125,15,Medio,S/D,5.Select,Tradicional
840,408291,PowerUsage,22.470640000000003,8.9643,72,Medio,Bajo,5.Select,Tradicional
843,412758,PowerUsage,11.20042,4.0,16,Medio,Bajo,4.Activos,Tradicional
847,415215,MinimalUsage,0.4837199999999999,9.0,9,Medio,S/D,1.Inactivos,Tradicional
849,417170,HighUsage,14.83002,11.7391,64,Alto,S/D,4.Activos,Tradicional
855,421453,HighUsage,8.98768,2.8571,12,Medio,Bajo,4.Activos,Autoservicio
872,431341,MinimalUsage,4.207879999999999,3.6,14,Bajo,Bajo,4.Activos,Tradicional
877,432607,HighUsage,2.53752,4.65,36,Alto,Medio,4.Activos,Tradicional
883,438072,MediumUsage,2.12816,6.5,12,Medio,Medio,4.Activos,Tradicional
900,446864,MinimalUsage,34.2,4.375,9,Alto,Medio,3.Potenciales,COMIDA
906,448290,PowerUsage,8.91116,4.5556,47,Medio,S/D,4.Activos,Kioscos/Maxikioscos
914,449685,PowerUsage,7.6052,7.2,33,Medio,Medio,4.Activos,Tradicional
918,451807,PowerUsage,2.0919,10.1667,30,Medio,S/D,4.Activos,Tradicional
927,456534,MediumUsage,10.35222,4.3182,31,S/D,S/D,4.Activos,COMIDA
957,24855,HighUsage,8.65326,6.3,33,Medio,Bajo,4.Activos,Tradicional
958,304550,HighUsage,1.9004,2.0,4,Medio,S/D,2.Masivos,COMIDA
959,311510,HighUsage,1.98,3.0,6,Medio,S/D,1.Inactivos,Tradicional
960,313797,PowerUsage,25.89522,9.3913,73,Alto,Medio,4.Activos,Tradicional
963,320602,HighUsage,1.67538,2.1429,8,Medio,Medio,1.Inactivos,Tradicional
967,329169,PowerUsage,7.84718,5.6818,36,Alto,Bajo,4.Activos,Tradicional
968,335242,PowerUsage,29.27092,10.9211,92,Alto,Medio,5.Select,Tradicional
978,363416,PowerUsage,20.9886,5.75,38,Medio,Bajo,5.Select,Tradicional
983,369009,HighUsage,7.48887,4.7692,29,Alto,Medio,4.Activos,Tradicional
986,377851,HighUsage,4.821179999999999,8.8636,41,Medio,Alto,2.Masivos,Tradicional
1017,413729,HighUsage,22.41352,3.2667,55,Medio,Bajo,4.Activos,Autoservicio
1021,417439,HighUsage,6.69448,4.8929,36,Medio,Medio,4.Activos,Kioscos/Maxikioscos
1023,419311,MinimalUsage,4.8,3.1429,7,Alto,Medio,2.Masivos,BEBIDA
1029,423131,PowerUsage,6.89026,5.4583,31,Medio,Medio,5.Select,Tradicional
1048,435368,PowerUsage,75.01086,18.7222,130,Alto,Medio,5.Select,Tradicional
1053,438299,MinimalUsage,0.41912,1.5,6,Alto,Medio,2.Masivos,Tradicional
1056,439135,HighUsage,14.501599999999998,7.6786,45,Alto,Medio,4.Activos,Tradicional
1065,442124,PowerUsage,6.414939999999999,6.9333,62,Alto,Medio,4.Activos,Kioscos/Maxikioscos
1066,443321,HighUsage,5.21014,9.9231,39,Alto,Medio,4.Activos,Tradicional
1068,443751,HighUsage,4.023,6.0714,26,Alto,Medio,2.Masivos,Kioscos/Maxikioscos
1081,449201,MediumUsage,13.08638,10.625,26,Bajo,Bajo,2.Masivos,Tradicional
1091,452558,HighUsage,13.25914,8.2619,32,Medio,S/D,4.Activos,Kioscos/Maxikioscos
1095,454732,PowerUsage,12.99716,7.2609,57,S/D,S/D,4.Activos,Kioscos/Maxikioscos
1102,458578,MinimalUsage,2.35526,7.5,27,S/D,S/D,1.Inactivos,Tradicional
1107,460084,MediumUsage,0.0250799999999999,4.0,4,S/D,S/D,1.Inactivos,Tradicional
1109,50549,HighUsage,4.39086,1.9615,4,Alto,Medio,2.Masivos,BEBIDA
1128,115192,MinimalUsage,1.7935200000000002,3.6667,6,Medio,Bajo,1.Inactivos,Tradicional
1132,160571,PowerUsage,16.084,4.2632,37,Medio,S/D,4.Activos,Kioscos/Maxikioscos
1139,179722,MediumUsage,12.906759999999998,8.3077,40,Medio,Medio,2.Masivos,Tradicional
1141,181932,PowerUsage,7.82723,4.6667,46,Medio,Bajo,5.Select,Tradicional
1156,354629,PowerUsage,4.88992,4.6667,31,Alto,Medio,2.Masivos,Tradicional
