Tournament;Matchday;Date;Venue;Club;Opponent;Result;Position;Minute;When Scored;Goal Type;Assist;Pareja
Champions League ;last 16;2/20/08;Away;FC Barcelona;Celtic FC;02:03:00;RW;18';01:01:00;Left-footed shot;Deco;Antonela Rocuzzo
Champions League ;last 16;2/20/08;Away;FC Barcelona;Celtic FC;02:03:00;RW;79';02:03:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
LaLiga ;25;2/24/08;Home;FC Barcelona;Levante UD;05:01:00;RW;44';02:01:00;Left-footed shot;Xavi;Antonela Rocuzzo
LaLiga ;35;5/4/08;Home;FC Barcelona;Valencia CF;06:00:00;RW;5';01:00:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;2;9/13/08;Home;FC Barcelona;Racing Santander;01:01:00;RW;70';01:00:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;3;9/21/08;Away;FC Barcelona;Sporting Gijón;01:06:00;RW;85';01:05:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
LaLiga ;3;9/21/08;Away;FC Barcelona;Sporting Gijón;01:06:00;RW;89';01:06:00;Header;Xavi;Antonela Rocuzzo
LaLiga ;5;9/27/08;Away;FC Barcelona;RCD Espanyol Barcelona;01:02:00;RW;90';01:02:00;Penalty;Not Applicable;Antonela Rocuzzo
Champions League ;Group Stage;10/1/08;Away;FC Barcelona;Shakhtar Donetsk;01:02:00;RW;87';01:01:00;Right-footed shot;Bojan Krkic;Antonela Rocuzzo
Champions League ;Group Stage;10/1/08;Away;FC Barcelona;Shakhtar Donetsk;01:02:00;RW;90'+2;01:02:00;Left-footed shot;Xavi;Antonela Rocuzzo
LaLiga ;6;10/4/08;Home;;Atlético de Madrid;06:01:00;RW;8';03:00:00;Direct free kick;Not Applicable;Antonela Rocuzzo
Champions League ;Group Stage;10/22/08;Away;FC Barcelona;FC Basel 1893;00:05:00;CF;4';00:01:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;9;11/1/08;Away;FC Barcelona;Málaga CF;01:04:00;RW;19';01:02:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
Champions League ;Group Stage;11/4/08;Home;FC Barcelona;FC Basel 1893;01:01:00;RW;61';01:00:00;Left-footed shot;Thierry Henry;Antonela Rocuzzo
Copa del Rey ;4th round;11/12/08;Home;FC Barcelona;Benidorm CD;01:00:00;RW;86';01:00:00;Penalty rebound;Not Applicable;Antonela Rocuzzo
LaLiga ;11;11/16/08;Away;FC Barcelona;Recreativo Huelva;00:02:00;RW;51';00:01:00;Left-footed shot;Xavi;Antonela Rocuzzo
Champions League ;Group Stage;11/26/08;Away;FC Barcelona;Sporting CP;02:05:00;RW;49';00:03:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;13;11/29/08;Away;FC Barcelona;Sevilla FC;00:03:00;RW;78';00:02:00;Left-footed shot;Xavi;Antonela Rocuzzo
LaLiga ;13;11/29/08;Away;FC Barcelona;Sevilla FC;00:03:00;RW;90'+2;00:03:00;Left-footed shot;Aleksandr Hleb;Antonela Rocuzzo
LaLiga ;15;12/13/08;Home;FC Barcelona;Real Madrid;02:00:00;RW;89';02:00:00;Counter attack goal;Thierry Henry;Antonela Rocuzzo
Copa del Rey ;last 16;1/6/09;Away;FC Barcelona;Atlético de Madrid;01:03:00;RW;11';00:01:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
Copa del Rey ;last 16;1/6/09;Away;FC Barcelona;Atlético de Madrid;01:03:00;RW;57';00:02:00;Penalty;Not Applicable;Antonela Rocuzzo
Copa del Rey ;last 16;1/6/09;Away;FC Barcelona;Atlético de Madrid;01:03:00;RW;79';01:03:00;Right-footed shot;Andrés Iniesta;Antonela Rocuzzo
LaLiga ;18;1/11/09;Away;;CA Osasuna;02:03:00;RW;84';02:03:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;19;1/17/09;Home;FC Barcelona;Deportivo de La Coruña;05:00:00;RW;21';01:00:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
LaLiga ;20;1/24/09;Home;FC Barcelona;CD Numancia;04:01:00;RW;49';01:00:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;20;1/24/09;Home;FC Barcelona;CD Numancia;04:01:00;RW;76';04:01:00;Right-footed shot;Not Applicable;Antonela Rocuzzo
LaLiga ;21;2/1/09;Away;FC Barcelona;Racing Santander;01:02:00;RW;65';01:01:00;Right-footed shot;Xavi;Antonela Rocuzzo
LaLiga ;21;2/1/09;Away;FC Barcelona;Racing Santander;01:02:00;RW;81';01:02:00;Right-footed shot;Not Applicable;Antonela Rocuzzo
LaLiga ;25;3/1/09;Away;FC Barcelona;Atlético de Madrid;04:03:00;RW;30';00:02:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
Copa del Rey ;Semi-Finals;3/4/09;Away;FC Barcelona;RCD Mallorca;01:01:00;RW;81';01:01:00;Left-footed shot;Gerard Piqué;Antonela Rocuzzo
LaLiga ;26;3/7/09;Home;FC Barcelona;Athletic Bilbao;02:00:00;RW;31';02:00:00;Penalty;Not Applicable;Antonela Rocuzzo
Champions League ;last 16;3/11/09;Home;FC Barcelona;Olympique Lyon;05:02:00;RW;40';03:00:00;Left-footed shot;Samuel Eto'o;Antonela Rocuzzo
LaLiga ;28;3/22/09;Home;FC Barcelona;Málaga CF;06:00:00;RW;26';02:00:00;Right-footed shot;Xavi;Antonela Rocuzzo
Champions League ;Quarter-Finals;4/8/09;Home;FC Barcelona;Bayern Munich;04:00:00;RW;9';01:00:00;Left-footed shot;Samuel Eto'o;Antonela Rocuzzo
Champions League ;Quarter-Finals;4/8/09;Home;FC Barcelona;Bayern Munich;04:00:00;RW;38';03:00:00;Right-footed shot;Thierry Henry;Antonela Rocuzzo
LaLiga ;31;4/18/09;Away;FC Barcelona;Getafe CF;00:01:00;RW;18';00:01:00;Left-footed shot;Xavi;Antonela Rocuzzo
